27958270
30.0,20,0,0,0,0,0,0,0,663,0.6666666666666666,0.06666666666666667,0.53333333333333333,0.014575800000000028,5.1200000000006794e-05,0.0
2.0,-,87574,0,87980,rejected,no
2.0,-,80814,0,0,-,no
2.0,-,28007,0,0,-,no
2.0,-,34084,0,0,-,no
2.0,-,55000,0,0,-,no
2.0,-,61145,0,0,-,no
2.0,-,46735,0,0,-,no
2.0,-,3866,0,0,-,no
2.0,-,32464,0,0,-,no
2.0,-,14092,0,0,-,no
2.0,-,34624,0,0,-,no
2.0,-,63079,0,0,-,no
2.0,-,48957,0,0,-,no
2.0,-,35580,0,0,-,no
2.0,-,32970,0,0,-,no
2.0,-,14256,0,0,-,no
2.0,-,14442,0,0,-,no
2.0,-,10252,0,0,-,no
2.0,-,34709,0,0,-,no
2.0,-,1860,1,2115,rejected,no
3.500028,-,[597],19,rejected,no,130,0
3.541695,-,[539],19,rejected,no,135,0
3.583362,-,[508],19,rejected,no,138,0
3.625029,-,[341],19,rejected,no,141,0
3.666696,-,[321],19,rejected,no,145,0
3.708363,-,[318],19,rejected,no,148,0
3.75003,-,[261],19,rejected,no,151,0
3.791697,-,[138],19,rejected,no,155,0
3.833364,-,[379],19,rejected,no,158,0
3.875031,-,[282],19,rejected,no,161,0
3.916698,-,[287],19,rejected,no,165,0
3.958365,-,[294],19,rejected,no,168,0
4.000032,-,[441],19,rejected,no,171,0
4.041699,-,[474],19,rejected,no,176,0
4.083366,-,[241],19,rejected,no,179,0
4.125033,-,[567],19,rejected,no,182,0
4.208367,-,[477],19,rejected,no,186,0
4.250034,-,[326],19,rejected,no,189,0
4.291701,-,[534],19,rejected,no,192,0
4.333368,-,[43],19,rejected,no,196,0
4.375035,-,[287],19,rejected,no,199,0
4.416702,-,[294],19,rejected,no,202,0
4.458369,-,[254],19,rejected,no,206,0
4.500036,-,[699],19,rejected,no,209,0
4.541703,-,[699],19,rejected,no,212,0
4.58337,-,[440],19,rejected,no,217,0
4.625037,-,[828],19,rejected,no,222,0
4.666704,-,[1117],19,rejected,no,226,0
4.708371,-,[151],19,rejected,no,234,0
4.750038,-,[1271],19,rejected,no,237,0
4.791705,-,[165],19,rejected,no,241,0
4.833372,-,[364],19,rejected,no,246,0
4.875039,-,[354],19,rejected,no,250,0
4.916706,-,[1476],19,rejected,no,253,0
4.958373,-,[150],19,rejected,no,258,0
5.00004,-,[1195],19,rejected,no,261,0
5.041707,-,[1229],19,rejected,no,264,0
5.083374,-,[164],19,rejected,no,271,0
5.125041,-,[947],19,rejected,no,274,0
5.166708,-,[1298],19,rejected,no,277,0
5.208375,-,[1406],19,rejected,no,281,0
5.250042,-,[1226],19,rejected,no,284,0
5.291709,-,[1185],19,rejected,no,287,0
5.333376,-,[7],19,rejected,no,292,0
5.375043,-,[1199],19,rejected,no,295,0
5.41671,-,[1165],19,rejected,no,298,0
5.458377,-,[281],19,rejected,no,303,0
5.500044,-,[1349],19,rejected,no,306,0
5.541711,-,[1305],19,rejected,no,309,0
5.583378,-,[1424],19,rejected,no,315,0
5.625045,-,[1259],19,rejected,no,318,0
5.666712,-,[1342],19,rejected,no,321,0
5.708379,-,[1373],19,rejected,no,325,0
5.750046,-,[64],19,rejected,no,329,0
5.791713,-,[1261],19,rejected,no,332,0
5.83338,-,[1491],19,rejected,no,336,0
5.875047,-,[52],19,rejected,no,340,0
5.916714,-,[157],19,rejected,no,344,0
5.958381,-,[117],19,rejected,no,349,0
6.000048,-,[1276],19,rejected,no,352,0
6.041715,-,[1244],19,rejected,no,355,0
6.083382,-,[1358],19,rejected,no,361,0
6.125049,-,[1091],19,rejected,no,364,0
6.166716,-,[1053],19,rejected,no,367,0
6.208383,-,[1155],19,rejected,no,371,0
6.25005,-,[192],19,rejected,no,375,0
6.291717,-,[1494],19,rejected,no,378,0
6.333384,-,[98],19,rejected,no,383,0
6.375051,-,[807],19,rejected,no,387,0
6.416718,-,[317],19,rejected,no,392,0
6.458385,-,[614],19,rejected,no,401,0
6.500052,-,[1478],19,rejected,no,403,0
6.541719,-,[1176],19,rejected,no,405,0
6.583386,-,[64],19,rejected,no,413,0
6.625053,-,[897],19,rejected,no,416,0
6.66672,-,[34],19,rejected,no,419,0
6.708387,-,[761],19,rejected,no,422,0
6.750054,-,[260],19,rejected,no,425,0
6.791721,-,[1092],19,rejected,no,428,0
6.833388,-,[530],19,rejected,no,432,0
6.875055,-,[1483],19,rejected,no,434,0
6.916722,-,[1341],19,rejected,no,436,0
6.958389,-,[1425],19,rejected,no,439,0
7.000056,-,[1154],19,rejected,no,441,0
7.041723,-,[1122],19,rejected,no,443,0
7.08339,-,[116],19,rejected,no,451,0
7.125057,-,[506],19,rejected,no,454,0
7.166724,-,[602],19,rejected,no,457,0
7.208391,-,[1344],19,rejected,no,460,0
7.250058,-,[1311],19,rejected,no,462,0
7.291725,-,[296],19,rejected,no,465,0
7.333392,-,[957],19,rejected,no,468,0
7.375059,-,[1408],19,rejected,no,470,0
7.416726,-,[736],19,rejected,no,473,0
7.458393,-,[71],19,rejected,no,477,0
7.50006,-,[617],19,rejected,no,479,0
7.541727,-,[1111],19,rejected,no,481,0
7.583394,-,[1449],19,rejected,no,488,0
7.625061,-,[464],19,rejected,no,491,0
7.666728,-,[157],19,rejected,no,494,0
7.708395,-,[146],19,rejected,no,498,0
7.750062,-,[1354],19,rejected,no,500,0
7.791729,-,[1066],19,rejected,no,503,0
7.833396,-,[1160],19,rejected,no,506,0
7.875063,-,[1482],19,rejected,no,508,0
7.91673,-,[360],19,rejected,no,511,0
7.958397,-,[59],19,rejected,no,515,0
8.000064,-,[1085],19,rejected,no,517,0
8.041731,-,[913],19,rejected,no,519,0
8.083398,-,[31],19,rejected,no,527,0
8.166732,-,[128],19,rejected,no,530,0
8.208399,-,[1131],19,rejected,no,533,0
8.250066,-,[974],19,rejected,no,536,0
8.291733,-,[1032],19,rejected,no,538,0
8.375067,-,[1276],19,rejected,no,540,0
8.416734,-,[202],19,rejected,no,544,0
8.458401,-,[1257],19,rejected,no,546,0
8.500068,-,[227],19,rejected,no,549,0
8.541735,-,[1224],19,rejected,no,553,0
8.583402,-,[605],19,rejected,no,556,0
8.625069,-,[949],19,rejected,no,559,0
8.666736,-,[34],19,rejected,no,567,0
8.708403,-,[117],19,rejected,no,570,0
8.75007,-,[8],19,rejected,no,573,0
8.791737,-,[811],19,rejected,no,577,0
8.833404,-,[1320],19,rejected,no,579,0
8.875071,-,[541],19,rejected,no,582,0
8.916738,-,[1336],19,rejected,no,585,0
8.958405,-,[154],19,rejected,no,588,0
9.000072,-,[1343],19,rejected,no,590,0
9.041739,-,[68],19,rejected,no,594,0
9.083406,-,[1078],19,rejected,no,596,0
9.125073,-,[17],19,rejected,no,599,0
9.16674,-,[18],19,rejected,no,607,0
9.208407,-,[584],19,rejected,no,610,0
9.250074,-,[222],19,rejected,no,613,0
9.291741,-,[1361],19,rejected,no,616,0
9.333408,-,[849],19,rejected,no,618,0
9.375075,-,[495],19,rejected,no,621,0
9.416742,-,[1285],19,rejected,no,624,0
9.458409,-,[1129],19,rejected,no,626,0
9.500076,-,[522],19,rejected,no,629,0
9.541743,-,[256],19,rejected,no,633,0
9.58341,-,[943],19,rejected,no,635,0
9.625077,-,[1102],19,rejected,no,637,0
9.666744,-,[27],19,rejected,no,645,0
9.708411,-,[127],19,rejected,no,648,0
9.750078,-,[300],19,rejected,no,651,0
9.791745,-,[1483],19,rejected,no,654,0
9.833412,-,[811],19,rejected,no,657,0
9.875079,-,[1496],19,rejected,no,659,0
9.916746,-,[1052],19,rejected,no,662,0
9.958413,-,[1461],19,rejected,no,664,0
10.00008,-,[54],19,rejected,no,667,0
10.041747,-,[565],19,rejected,no,671,0
10.083414,-,[1311],19,rejected,no,673,0
10.125081,-,[785],19,rejected,no,676,0
10.166748,-,[1432],19,rejected,no,683,0
10.208415,-,[116],19,rejected,no,686,0
10.250082,-,[1050],19,rejected,no,688,0
10.291749,-,[1253],19,rejected,no,691,0
10.333416,-,[1322],19,rejected,no,693,0
10.375083,-,[1186],19,rejected,no,695,0
10.41675,-,[392],19,rejected,no,699,0
10.458417,-,[85],19,rejected,no,702,0
10.500084,-,[1401],19,rejected,no,704,0
10.541751,-,[1131],19,rejected,no,707,0
10.583418,-,[1050],19,rejected,no,709,0
10.625085,-,[1344],19,rejected,no,711,0
10.666752,-,[1333],19,rejected,no,718,0
10.708419,-,[1329],19,rejected,no,720,0
10.750086,-,[1462],19,rejected,no,722,0
10.791753,-,[440],19,rejected,no,726,0
10.83342,-,[38],19,rejected,no,730,0
10.875087,-,[1407],19,rejected,no,733,0
10.916754,-,[1433],19,rejected,no,741,0
10.958421,-,[15],19,rejected,no,744,0
11.000088,-,[319],19,rejected,no,747,0
11.041755,-,[1201],19,rejected,no,750,0
11.083422,-,[1033],19,rejected,no,752,0
11.125089,-,[1264],19,rejected,no,754,0
11.166756,-,[263],19,rejected,no,762,0
11.208423,-,[838],19,rejected,no,765,0
11.25009,-,[689],19,rejected,no,768,0
11.291757,-,[734],19,rejected,no,771,0
11.333424,-,[867],19,rejected,no,773,0
11.375091,-,[893],19,rejected,no,775,0
11.416758,-,[27],19,rejected,no,778,0
11.458425,-,[109],19,rejected,no,781,0
11.500092,-,[404],19,rejected,no,784,0
11.541759,-,[330],19,rejected,no,787,0
11.583426,-,[638],19,rejected,no,790,0
11.625093,-,[1088],19,rejected,no,792,0
11.66676,-,[289],19,rejected,no,800,0
11.708427,-,[1091],19,rejected,no,802,0
11.750094,-,[1201],19,rejected,no,804,0
11.791761,-,[101],19,rejected,no,807,0
11.833428,-,[1169],19,rejected,no,809,0
11.875095,-,[1184],19,rejected,no,811,0
11.916762,-,[472],19,rejected,no,815,0
11.958429,-,[973],19,rejected,no,817,0
12.000096,-,[138],19,rejected,no,820,0
12.041763,-,[55],19,rejected,no,824,0
12.08343,-,[874],19,rejected,no,826,0
12.125097,-,[1013],19,rejected,no,828,0
12.166764,-,[212],19,rejected,no,836,0
12.208431,-,[1105],19,rejected,no,838,0
12.250098,-,[1339],19,rejected,no,840,0
12.291765,-,[612],19,rejected,no,843,0
12.333432,-,[1185],19,rejected,no,845,0
12.375099,-,[303],19,rejected,no,848,0
12.416766,-,[320],19,rejected,no,852,0
12.458433,-,[25],19,rejected,no,855,0
12.5001,-,[551],19,rejected,no,858,0
12.541767,-,[984],19,rejected,no,861,0
12.583434,-,[270],19,rejected,no,864,0
12.625101,-,[1156],19,rejected,no,866,0
12.666768,-,[224],19,rejected,no,874,0
12.708435,-,[1498],19,rejected,no,876,0
12.750102,-,[1015],19,rejected,no,879,0
12.791769,-,[743],19,rejected,no,882,0
12.833436,-,[57],0,rejected,no,884,0
12.875103,-,[61],0,rejected,no,886,0
12.91677,-,[359],0,rejected,no,890,0
12.958437,-,[139],0,rejected,no,892,0
13.000104,-,[179],0,rejected,no,894,0
13.041771,-,[922],0,rejected,no,896,0
13.083438,-,[201],0,rejected,no,898,0
13.125105,-,[240],0,rejected,no,900,0
13.166772,-,[1103],0,rejected,no,902,0
13.208439,-,[229],0,rejected,no,904,0
13.250106,-,[225],0,rejected,no,906,0
13.291773,-,[966],0,rejected,no,908,0
13.33344,-,[404],0,rejected,no,910,0
13.375107,-,[191],0,rejected,no,912,0
13.416774,-,[99],0,rejected,no,916,0
13.458441,-,[229],0,rejected,no,918,0
13.500108,-,[373],0,rejected,no,920,0
13.541775,-,[897],0,rejected,no,922,0
13.583442,-,[581],0,rejected,no,924,0
13.625109,-,[288],0,rejected,no,926,0
13.666776,-,[932],0,rejected,no,928,0
13.708443,-,[674],0,rejected,no,930,0
13.75011,-,[706],0,rejected,no,932,0
13.791777,-,[118],0,rejected,no,935,0
13.833444,-,[323],0,rejected,no,937,0
13.875111,-,[92],0,rejected,no,939,0
13.916778,-,[727],0,rejected,no,942,0
13.958445,-,[327],0,rejected,no,944,0
14.000112,-,[628],0,rejected,no,946,0
14.041779,-,[301],0,rejected,no,949,0
14.083446,-,[963],0,rejected,no,951,0
14.125113,-,[615],0,rejected,no,953,0
14.16678,-,[401],0,rejected,no,956,0
14.208447,-,[409],0,rejected,no,958,0
14.250114,-,[289],0,rejected,no,960,0
14.291781,-,[38],0,rejected,no,963,0
14.333448,-,[214],0,rejected,no,965,0
14.375115,-,[312],0,rejected,no,967,0
14.416782,-,[1482],0,rejected,no,970,0
14.458449,-,[518],0,rejected,no,972,0
14.500116,-,[972],0,rejected,no,974,0
14.541783,-,[718],0,rejected,no,977,0
14.58345,-,[1003],0,rejected,no,979,0
14.625117,-,[1370],0,rejected,no,981,0
14.666784,-,[1128],0,rejected,no,984,0
14.708451,-,[1440],0,rejected,no,986,0
14.750118,-,[1296],0,rejected,no,988,0
14.791785,-,[503],0,rejected,no,991,0
14.833452,-,[925],0,rejected,no,993,0
14.875119,-,[483],0,rejected,no,995,0
14.916786,-,[597],0,rejected,no,1000,0
14.958453,-,[475],0,rejected,no,1002,0
15.00012,-,[408],0,rejected,no,1004,0
15.041787,-,[904],0,rejected,no,1006,0
15.083454,-,[491],0,rejected,no,1008,0
15.125121,-,[888],0,rejected,no,1010,0
15.166788,-,[27],0,rejected,no,1013,0
15.208455,-,[798],0,rejected,no,1015,0
15.250122,-,[665],0,rejected,no,1017,0
15.291789,-,[87],0,rejected,no,1020,0
15.333456,-,[1284],0,rejected,no,1022,0
15.375123,-,[1462],0,rejected,no,1024,0
15.41679,-,[655],0,rejected,no,1029,0
15.458457,-,[1387],0,rejected,no,1031,0
15.500124,-,[1158],0,rejected,no,1033,0
15.541791,-,[807],0,rejected,no,1036,0
15.583458,-,[1154],0,rejected,no,1038,0
15.625125,-,[1275],0,rejected,no,1040,0
15.666792,-,[798],0,rejected,no,1043,0
15.708459,-,[1037],0,rejected,no,1045,0
15.750126,-,[1363],0,rejected,no,1047,0
15.791793,-,[949],0,rejected,no,1050,0
15.83346,-,[1005],0,rejected,no,1052,0
15.875127,-,[1229],0,rejected,no,1054,0
15.916794,-,[827],0,rejected,no,1059,0
15.958461,-,[1037],0,rejected,no,1061,0
16.000128,-,[1064],0,rejected,no,1063,0
16.041795,-,[650],0,rejected,no,1066,0
16.083462,-,[1148],0,rejected,no,1068,0
16.125129,-,[1109],0,rejected,no,1070,0
16.166796,-,[381],0,rejected,no,1073,0
16.333464,-,[1217],0,rejected,no,1075,0
16.375131,-,[1253],0,rejected,no,1077,0
16.416798,-,[211],0,rejected,no,1080,0
16.458465,-,[508],0,rejected,no,1083,0
16.500132,-,[508],0,rejected,no,1086,0
16.541799,-,[513],0,rejected,no,1091,0
16.583466,-,[1346],0,rejected,no,1093,0
16.625133,-,[1261],0,rejected,no,1095,0
16.750134,-,[956],0,rejected,no,1098,0
16.791801,-,[981],0,rejected,no,1100,0
16.833468,-,[1116],0,rejected,no,1102,0
16.875135,-,[453],0,rejected,no,1105,0
16.916802,-,[1061],0,rejected,no,1107,0
16.958469,-,[1328],0,rejected,no,1109,0
17.000136,-,[513],0,rejected,no,1112,0
17.041803,-,[921],0,rejected,no,1114,0
17.08347,-,[907],0,rejected,no,1116,0
17.125137,-,[1472],0,rejected,no,1120,0
17.166804,-,[1315],0,rejected,no,1122,0
17.208471,-,[1120],0,rejected,no,1124,0
17.250138,-,[63],0,rejected,no,1127,0
17.291805,-,[766],0,rejected,no,1129,0
17.333472,-,[796],0,rejected,no,1131,0
17.375139,-,[342],0,rejected,no,1134,0
17.416806,-,[630],0,rejected,no,1136,0
17.458473,-,[574],0,rejected,no,1138,0
17.50014,-,[1367],0,rejected,no,1140,0
17.541807,-,[410],0,rejected,no,1142,0
17.583474,-,[580],0,rejected,no,1144,0
17.625141,-,[1097],0,rejected,no,1148,0
17.666808,-,[649],0,rejected,no,1150,0
17.708475,-,[544],0,rejected,no,1152,0
17.750142,-,[1244],0,rejected,no,1154,0
17.791809,-,[648],0,rejected,no,1156,0
17.833476,-,[516],0,rejected,no,1158,0
17.875143,-,[1127],0,rejected,no,1160,0
17.91681,-,[531],0,rejected,no,1162,0
17.958477,-,[475],0,rejected,no,1164,0
18.000144,-,[1194],0,rejected,no,1166,0
18.041811,-,[147],0,rejected,no,1168,0
18.083478,-,[149],0,rejected,no,1170,0
18.125145,-,[1176],0,rejected,no,1174,0
18.166812,-,[346],0,rejected,no,1176,0
18.208479,-,[596],0,rejected,no,1178,0
18.250146,-,[1397],0,rejected,no,1180,0
18.291813,-,[1484],0,rejected,no,1182,0
18.33348,-,[350],0,rejected,no,1187,0
18.375147,-,[288],0,rejected,no,1194,0
18.416814,-,[712],0,rejected,no,1198,0
18.458481,-,[900],0,rejected,no,1202,0
18.500148,-,[198],0,rejected,no,1207,0
18.541815,-,[1037],0,rejected,no,1211,0
18.583482,-,[484],0,rejected,no,1215,0
18.625149,-,[1160],0,rejected,no,1220,0
18.666816,-,[724],0,rejected,no,1224,0
18.708483,-,[177],0,rejected,no,1228,0
18.75015,-,[945],0,rejected,no,1232,0
18.791817,-,[1382],0,rejected,no,1235,0
18.833484,-,[51],0,rejected,no,1239,0
18.875151,-,[1013],0,rejected,no,1243,0
18.916818,-,[1215],0,rejected,no,1246,0
18.958485,-,[1192],0,rejected,no,1249,0
19.000152,-,[438],0,rejected,no,1253,0
19.041819,-,[962],0,rejected,no,1256,0
19.083486,-,[786],0,rejected,no,1259,0
19.125153,-,[1186],0,rejected,no,1263,0
19.16682,-,[717],0,rejected,no,1266,0
19.208487,-,[785],0,rejected,no,1269,0
19.250154,-,[101],0,rejected,no,1273,0
19.291821,-,[270],0,rejected,no,1276,0
19.333488,-,[324],0,rejected,no,1279,0
19.375155,-,[1235],0,rejected,no,1282,0
19.416822,-,[26],0,rejected,no,1285,0
19.458489,-,[98],0,rejected,no,1288,0
19.500156,-,[808],0,rejected,no,1291,0
19.541823,-,[1166],0,rejected,no,1293,0
19.58349,-,[842],0,rejected,no,1295,0
19.625157,-,[1296],0,rejected,no,1297,0
19.666824,-,[27],0,rejected,no,1299,0
19.708491,-,[1412],0,rejected,no,1300,0
19.750158,-,[659],0,rejected,no,1302,0
19.791825,-,[1245],0,rejected,no,1303,0
19.833492,-,[1330],0,rejected,no,1304,0
19.875159,-,[754],0,rejected,no,1306,0
19.916826,-,[121],0,rejected,no,1308,0
19.958493,-,[184],0,rejected,no,1310,0
20.00016,-,[718],0,rejected,no,1313,0
20.041827,-,[68],0,rejected,no,1316,0
20.083494,-,[144],0,rejected,no,1320,0
20.125161,-,[634],0,rejected,no,1325,0
20.166828,-,[163],0,rejected,no,1328,0
20.208495,-,[507],0,rejected,no,1331,0
20.250162,-,[50],0,rejected,no,1335,0
20.291829,-,[369],0,rejected,no,1338,0
20.333496,-,[356],0,rejected,no,1341,0
20.375163,-,[97],0,rejected,no,1345,0
20.41683,-,[810],0,rejected,no,1348,0
20.458497,-,[462],0,rejected,no,1351,0
20.500164,-,[57],0,rejected,no,1355,0
20.541831,-,[541],0,rejected,no,1358,0
20.583498,-,[590],0,rejected,no,1361,0
20.625165,-,[556],0,rejected,no,1366,0
20.666832,-,[577],0,rejected,no,1369,0
20.708499,-,[1027],0,rejected,no,1372,0
20.750166,-,[1369],0,rejected,no,1375,0
20.791833,-,[1101],0,rejected,no,1378,0
20.8335,-,[957],0,rejected,no,1381,0
20.875167,-,[270],0,rejected,no,1385,0
20.916834,-,[803],0,rejected,no,1388,0
20.958501,-,[709],0,rejected,no,1391,0
21.000168,-,[287],0,rejected,no,1395,0
21.041835,-,[890],0,rejected,no,1398,0
21.083502,-,[1004],0,rejected,no,1401,0
21.125169,-,[473],0,rejected,no,1406,0
21.166836,-,[923],0,rejected,no,1409,0
21.208503,-,[658],0,rejected,no,1412,0
21.25017,-,[41],0,rejected,no,1416,0
21.291837,-,[211],0,rejected,no,1419,0
21.333504,-,[628],0,rejected,no,1422,0
21.375171,-,[710],0,rejected,no,1426,0
21.416838,-,[776],0,rejected,no,1429,0
21.458505,-,[1450],0,rejected,no,1431,0
21.500172,-,[155],0,rejected,no,1435,0
21.541839,-,[1238],0,rejected,no,1438,0
21.583506,-,[627],0,rejected,no,1442,0
21.625173,-,[1455],0,rejected,no,1446,0
21.66684,-,[1181],0,rejected,no,1448,0
21.708507,-,[1411],0,rejected,no,1450,0
21.750174,-,[588],0,rejected,no,1453,0
21.791841,-,[1009],0,rejected,no,1455,0
21.833508,-,[1048],0,rejected,no,1457,0
21.875175,-,[627],0,rejected,no,1460,0
21.916842,-,[964],0,rejected,no,1462,0
21.958509,-,[1034],0,rejected,no,1464,0
22.000176,-,[613],0,rejected,no,1467,0
22.041843,-,[1278],0,rejected,no,1469,0
22.08351,-,[1294],0,rejected,no,1471,0
22.125177,-,[1386],0,rejected,no,1475,0
22.166844,-,[1117],0,rejected,no,1477,0
22.208511,-,[938],0,rejected,no,1479,0
22.250178,-,[683],0,rejected,no,1482,0
22.291845,-,[701],0,rejected,no,1484,0
22.333512,-,[1022],0,rejected,no,1486,0
22.375179,-,[83],0,rejected,no,1489,0
22.416846,-,[643],0,rejected,no,1491,0
22.458513,-,[779],0,rejected,no,1493,0
22.50018,-,[426],0,rejected,no,1496,0
22.541847,-,[801],0,rejected,no,1498,0
22.583514,-,[1298],0,rejected,no,1500,0
22.625181,-,[29],0,rejected,no,1505,0
22.666848,-,[1371],0,rejected,no,1507,0
22.708515,-,[111],0,rejected,no,1510,0
22.750182,-,[402],0,rejected,no,1513,0
22.791849,-,[6],0,rejected,no,1516,0
22.833516,-,[1262],0,rejected,no,1518,0
22.875183,-,[570],0,rejected,no,1521,0
22.91685,-,[1284],0,rejected,no,1523,0
22.958517,-,[1172],0,rejected,no,1525,0
23.000184,-,[964],0,rejected,no,1528,0
23.041851,-,[1203],0,rejected,no,1530,0
23.083518,-,[1329],0,rejected,no,1532,0
23.125185,-,[641],0,rejected,no,1537,0
23.166852,-,[627],0,rejected,no,1540,0
23.208519,-,[1340],0,rejected,no,1542,0
23.250186,-,[1200],0,rejected,no,1545,0
23.291853,-,[550],0,rejected,no,1548,0
23.33352,-,[1265],0,rejected,no,1550,0
23.375187,-,[1005],0,rejected,no,1553,0
23.416854,-,[620],0,rejected,no,1556,0
23.458521,-,[1422],0,rejected,no,1558,0
23.500188,-,[947],0,rejected,no,1561,0
23.541855,-,[826],0,rejected,no,1564,0
23.583522,-,[31],0,rejected,no,1567,0
23.625189,-,[924],0,rejected,no,1572,0
23.666856,-,[1405],0,rejected,no,1577,0
23.708523,-,[497],0,rejected,no,1582,0
23.75019,-,[1060],0,rejected,no,1589,0
23.791857,-,[915],0,rejected,no,1593,0
23.833524,-,[1357],0,rejected,no,1597,0
23.875191,-,[1408],0,rejected,no,1602,0
23.916858,-,[1122],0,rejected,no,1606,0
23.958525,-,[1018],0,rejected,no,1610,0
24.000192,-,[1132],0,rejected,no,1615,0
24.041859,-,[776],0,rejected,no,1619,0
24.083526,-,[1279],0,rejected,no,1623,0
24.125193,-,[1057],0,rejected,no,1629,0
24.16686,-,[285],0,rejected,no,1634,0
24.208527,-,[226],0,rejected,no,1639,0
24.250194,-,[1389],0,rejected,no,1644,0
24.291861,-,[1459],0,rejected,no,1648,0
24.333528,-,[1299],0,rejected,no,1652,0
24.375195,-,[1232],0,rejected,no,1657,0
24.416862,-,[1420],0,rejected,no,1661,0
24.458529,-,[105],0,rejected,no,1666,0
24.500196,-,[1050],0,rejected,no,1671,0
24.541863,-,[293],0,rejected,no,1676,0
24.58353,-,[528],0,rejected,no,1681,0
24.625197,-,[1314],0,rejected,no,1687,0
24.666864,-,[192],0,rejected,no,1692,0
24.708531,-,[78],0,rejected,no,1697,0
24.750198,-,[1431],0,rejected,no,1702,0
24.791865,-,[67],0,rejected,no,1707,0
24.833532,-,[118],0,rejected,no,1712,0
24.875199,-,[1137],0,rejected,no,1717,0
24.916866,-,[358],0,rejected,no,1722,0
24.958533,-,[428],0,rejected,no,1727,0
25.0002,-,[364],0,rejected,no,1733,0
25.041867,-,[646],0,rejected,no,1738,0
25.083534,-,[428],0,rejected,no,1743,0
25.125201,-,[472],0,rejected,no,1749,0
25.166868,-,[566],0,rejected,no,1754,0
25.208535,-,[620],0,rejected,no,1759,0
25.250202,-,[187],0,rejected,no,1765,0
25.291869,-,[184],0,rejected,no,1770,0
25.333536,-,[410],0,rejected,no,1775,0
25.375203,-,[62],0,rejected,no,1781,0
25.41687,-,[665],0,rejected,no,1786,0
25.458537,-,[393],0,rejected,no,1790,0
25.500204,-,[646],0,rejected,no,1797,0
25.541871,-,[1367],0,rejected,no,1800,0
25.583538,-,[1422],0,rejected,no,1803,0
25.625205,-,[794],0,rejected,no,1809,0
25.666872,-,[34],0,rejected,no,1813,0
25.708539,-,[124],0,rejected,no,1817,0
25.750206,-,[1325],0,rejected,no,1821,0
25.791873,-,[727],0,rejected,no,1825,0
25.83354,-,[385],0,rejected,no,1829,0
25.875207,-,[154],0,rejected,no,1834,0
25.916874,-,[451],0,rejected,no,1838,0
25.958541,-,[505],0,rejected,no,1842,0
26.000208,-,[0],0,rejected,no,1846,0
26.041875,-,[585],0,rejected,no,1850,0
26.083542,-,[111],0,rejected,no,1854,0
26.125209,-,[2],0,rejected,no,1860,0
26.166876,-,[1429],0,rejected,no,1863,0
26.208543,-,[1470],0,rejected,no,1866,0
26.25021,-,[1088],0,rejected,no,1870,0
26.291877,-,[112],0,rejected,no,1874,0
26.333544,-,[191],0,rejected,no,1878,0
